,Price,Area,Location,No. of Bedrooms,Gymnasium,Car Parking,Landscaped Gardens,Swimming Pool
0,4850000,720,Kharghar,1,No,Yes,No,No
1,4500000,600,Kharghar,1,Yes,Yes,No,Yes
2,6700000,650,Kharghar,1,Yes,Yes,No,Yes
3,4500000,650,Kharghar,1,No,Yes,Yes,No
4,5000000,665,Kharghar,1,No,Yes,Yes,No
6,12500000,1550,Kharghar,3,No,Yes,Yes,No
7,10500000,1370,Sector-13 Kharghar,3,No,Yes,No,No
8,10500000,1356,Kharghar,3,Yes,Yes,No,Yes
9,15000000,1680,Kharghar,3,Yes,Yes,Yes,Yes
10,8700000,980,Kharghar,2,Yes,Yes,No,Yes
11,9000000,1000,Kharghar,2,Yes,Yes,Yes,No
12,11000000,1060,Kharghar,2,Yes,Yes,Yes,Yes
13,10500000,1095,Kharghar,2,Yes,Yes,Yes,Yes
14,9700000,1155,Kharghar,2,Yes,Yes,Yes,Yes
15,10500000,1150,Kharghar,2,Yes,Yes,Yes,Yes
16,8000000,1250,Sector 18 Kharghar,2,Yes,Yes,Yes,No
17,8500000,990,Kharghar,2,Yes,Yes,Yes,Yes
18,9300000,1078,Kharghar,2,Yes,Yes,Yes,Yes
19,9900000,1150,Kharghar,2,Yes,Yes,No,Yes
20,8000000,1150,Kharghar,2,Yes,Yes,Yes,Yes
21,9000000,1060,Kharghar,2,Yes,Yes,Yes,Yes
22,4200000,680,Kharghar,1,No,Yes,No,No
27,9500000,1025,Kharghar,2,Yes,Yes,Yes,Yes
28,9500000,950,Kharghar,2,Yes,Yes,No,Yes
29,7500000,895,Kharghar,2,No,Yes,No,No
30,8500000,1114,Kharghar,2,Yes,Yes,Yes,Yes
31,13000000,1197,Kharghar,2,Yes,Yes,Yes,Yes
32,13700000,1380,Kharghar,2,Yes,Yes,Yes,Yes
33,8000000,1050,Kharghar,2,No,Yes,No,No
34,10500000,1240,Kharghar,2,Yes,Yes,Yes,Yes
35,7700000,1110,Kharghar,2,Yes,Yes,Yes,Yes
36,7500000,1050,Kharghar,2,No,Yes,No,No
37,9000000,1160,Kharghar,2,Yes,Yes,Yes,Yes
38,6000000,555,Kharghar,1,No,Yes,Yes,No
39,6200000,650,Kharghar,1,No,Yes,No,No
40,5000000,600,Kharghar,1,No,Yes,Yes,No
41,6500000,650,Kharghar,1,No,Yes,No,No
42,5200000,700,Kharghar,1,Yes,Yes,Yes,Yes
43,4200000,646,Kharghar,1,No,Yes,No,No
44,5500000,560,Kharghar,1,No,Yes,Yes,No
45,5500000,670,Kharghar,1,Yes,Yes,No,Yes
46,6000000,740,Kharghar,1,Yes,Yes,No,Yes
47,5500000,636,Kharghar,1,Yes,Yes,Yes,Yes
48,4200000,680,Kharghar,1,No,Yes,No,No
49,16500000,1635,Kharghar,3,Yes,Yes,Yes,Yes
50,11399999,1550,Kharghar,3,Yes,Yes,Yes,No
51,13500000,1500,Kharghar,3,Yes,Yes,No,Yes
54,5700000,610,Kharghar,1,Yes,Yes,Yes,Yes
55,4800000,655,Kharghar,1,No,Yes,No,No
56,4500000,660,Kharghar,1,No,Yes,No,No
57,4300000,650,Kharghar,1,No,Yes,No,No
58,4500000,680,Kharghar,1,Yes,Yes,No,Yes
59,5300000,670,Kharghar,1,Yes,Yes,No,Yes
60,4803000,655,Kharghar,1,No,Yes,No,No
61,13000000,1800,Kharghar,3,Yes,Yes,No,Yes
62,15500000,1645,Kharghar,3,Yes,Yes,No,Yes
63,13000000,1395,Kharghar,3,Yes,Yes,No,Yes
64,8500000,1150,Kharghar,2,Yes,Yes,Yes,Yes
65,9400000,1200,Kharghar,2,Yes,Yes,Yes,Yes
66,4500000,615,Kharghar,1,No,Yes,No,No
67,5300000,670,Kharghar,1,Yes,Yes,Yes,Yes
68,6000000,765,Kharghar,1,Yes,Yes,Yes,Yes
69,5600000,650,Kharghar,1,Yes,Yes,No,Yes
70,17500000,1760,Kharghar,3,Yes,Yes,No,Yes
71,12000000,1415,Kharghar,3,Yes,Yes,Yes,Yes
72,15000000,1685,Kharghar,3,Yes,Yes,Yes,Yes
73,13000000,1800,Kharghar,3,Yes,Yes,No,Yes
74,16600000,1650,Kharghar,3,Yes,Yes,No,Yes
75,13000000,1395,Kharghar,3,Yes,Yes,No,Yes
76,9400000,1200,Kharghar,2,Yes,Yes,Yes,Yes
77,5700000,650,Kharghar,1,No,Yes,Yes,No
78,5500000,560,Kharghar,1,No,Yes,Yes,No
79,6000000,765,Kharghar,1,Yes,Yes,Yes,Yes
80,5600000,650,Kharghar,1,Yes,Yes,Yes,Yes
81,4900000,655,Kharghar,1,No,Yes,No,No
82,13500000,1390,Kharghar,3,Yes,Yes,No,Yes
83,22000000,1590,Kharghar,3,Yes,Yes,Yes,Yes
84,17500000,1760,Kharghar,3,Yes,Yes,No,Yes
85,17800000,1716,Kharghar,3,Yes,Yes,Yes,Yes
86,14000000,1680,Kharghar,3,Yes,Yes,Yes,Yes
87,7200000,1050,Kharghar,2,Yes,Yes,Yes,Yes
88,7000000,1100,Kharghar,2,No,Yes,Yes,No
89,15000000,1635,Kharghar,3,Yes,Yes,Yes,Yes
90,10000000,1078,Kharghar,2,Yes,Yes,Yes,Yes
91,17500000,1760,Kharghar,3,Yes,Yes,Yes,Yes
92,11000000,1415,Kharghar,3,Yes,Yes,Yes,Yes
93,13000000,1800,Kharghar,3,Yes,Yes,Yes,Yes
94,12500000,1147,Kharghar,2,Yes,Yes,Yes,Yes
95,13000000,1197,Kharghar,2,Yes,Yes,Yes,Yes
96,15000000,1300,Kharghar,3,No,Yes,No,Yes
97,7500000,1050,Kharghar,2,No,Yes,No,No
98,9500000,1240,Kharghar,2,Yes,Yes,Yes,Yes
99,5500000,650,Kharghar,1,Yes,Yes,No,No
100,5000000,600,Sector 20 Kharghar,1,No,Yes,Yes,No
101,5000000,550,Kharghar,1,No,Yes,No,No
102,5500000,550,Kharghar,1,Yes,Yes,Yes,Yes
103,4200000,650,Kharghar,1,No,Yes,Yes,No
104,4200000,646,Kharghar,1,No,Yes,No,No
105,6000000,740,Kharghar,1,Yes,Yes,Yes,Yes
106,5000000,570,Kharghar,1,No,Yes,No,No
107,5500000,670,Kharghar,1,Yes,Yes,Yes,Yes
108,4300000,640,Kharghar,1,Yes,Yes,No,Yes
109,15500000,1700,Kharghar,3,Yes,Yes,No,Yes
110,11399999,1550,Kharghar,3,No,Yes,Yes,No
111,12000000,1530,Kharghar,3,Yes,Yes,No,Yes
112,16000000,1750,Kharghar,3,No,Yes,No,No
113,22000000,1590,Kharghar,3,Yes,Yes,No,Yes
114,11000000,1415,Kharghar,3,Yes,Yes,Yes,Yes
115,16600000,1650,Kharghar,3,Yes,Yes,No,Yes
116,14000000,1687,Kharghar,3,Yes,Yes,Yes,Yes
117,8500000,1150,Kharghar,2,Yes,Yes,No,Yes
118,6000000,555,Kharghar,1,No,Yes,No,No
119,4900000,600,Kharghar,1,No,Yes,Yes,No
120,4200000,646,Kharghar,1,No,Yes,No,No
121,4500000,650,Kharghar,1,No,Yes,No,No
122,4300000,640,Kharghar,1,Yes,Yes,No,Yes
123,5500000,650,Kharghar,1,No,Yes,Yes,No
124,13500000,1400,Kharghar,3,Yes,Yes,No,Yes
125,15000000,1780,Kharghar,3,Yes,Yes,No,Yes
126,14000000,1687,Kharghar,3,Yes,Yes,Yes,Yes
127,6900000,1100,Kharghar,2,No,Yes,Yes,No
128,8300000,1050,Kharghar,2,Yes,Yes,Yes,Yes
129,9000000,1160,Kharghar,2,Yes,Yes,Yes,Yes
130,5100000,700,Kharghar,1,No,Yes,Yes,No
131,5200000,625,Kharghar,1,Yes,Yes,No,Yes
132,5500000,670,Kharghar,1,Yes,Yes,Yes,Yes
133,5500000,550,Kharghar,1,Yes,Yes,No,Yes
134,5400000,650,Kharghar,1,No,Yes,No,No
135,5300000,660,Kharghar,1,Yes,Yes,Yes,Yes
136,5500000,550,Kharghar,1,Yes,Yes,No,Yes
137,5000000,570,Kharghar,1,No,Yes,No,No
138,14000000,1550,Kharghar,3,Yes,Yes,Yes,Yes
139,17100000,1760,Kharghar,3,Yes,Yes,No,Yes
140,11800000,1475,Kharghar,3,Yes,Yes,Yes,Yes
141,6000000,759,Kharghar,1,Yes,Yes,Yes,Yes
142,4850000,600,Kharghar,1,No,Yes,Yes,No
143,4500000,550,Kharghar,1,No,Yes,Yes,No
144,4100000,620,Kharghar,1,Yes,Yes,No,Yes
145,5000000,550,Kharghar,1,No,Yes,No,No
146,5500000,745,Kharghar,1,No,Yes,Yes,No
147,4500000,580,Kharghar,1,No,Yes,No,No
148,5300000,670,Kharghar,1,Yes,Yes,Yes,Yes
150,13500000,1400,Kharghar,3,Yes,Yes,No,Yes
151,13600000,1680,Kharghar,3,Yes,Yes,Yes,Yes
152,15500000,1645,Kharghar,3,Yes,Yes,No,Yes
153,16500000,1585,Kharghar,3,Yes,Yes,No,Yes
154,8600000,1350,Kharghar,2,No,Yes,Yes,No
155,10000000,1075,Kharghar,2,Yes,Yes,Yes,Yes
156,10500000,1155,Kharghar,2,Yes,Yes,Yes,Yes
157,4700000,625,Kharghar,1,Yes,Yes,No,Yes
158,6200000,720,Kharghar,1,Yes,Yes,Yes,Yes
159,4500000,550,Kharghar,1,No,Yes,No,No
160,6900000,735,Kharghar,1,Yes,Yes,No,Yes
161,4500000,580,Kharghar,1,No,Yes,No,No
162,10000000,1505,Kharghar,3,Yes,Yes,No,No
163,13000000,1630,Kharghar,3,No,Yes,Yes,No
164,11000000,1550,Kharghar,3,Yes,Yes,Yes,No
165,13000000,1455,Sector 18 Kharghar,3,No,Yes,No,No
166,10500000,1098,Kharghar,2,Yes,Yes,Yes,Yes
167,13000000,1210,Sector 15 Kharghar,2,Yes,Yes,Yes,No
168,9500000,1000,Kharghar,2,Yes,Yes,No,Yes
169,4500000,550,Kharghar,1,No,Yes,No,No
170,13000000,1630,Kharghar,3,No,Yes,No,No
171,13600000,1680,Kharghar,3,Yes,Yes,Yes,Yes
172,16200000,1650,Kharghar,3,Yes,Yes,No,Yes
173,15000000,1440,Kharghar,3,Yes,Yes,Yes,Yes
174,13200000,1370,Kharghar,3,Yes,Yes,No,Yes
175,7500000,1022,Sector 18 Kharghar,2,No,Yes,No,No
176,9500000,1000,Kharghar,2,Yes,Yes,No,Yes
177,15000000,1760,Kharghar,3,Yes,Yes,No,Yes
178,7500000,1100,Kharghar,2,No,Yes,No,Yes
179,13000000,1550,Sector 20 Kharghar,3,Yes,Yes,No,Yes
180,16200000,1675,Kharghar,3,Yes,Yes,Yes,Yes
181,11000000,1060,Kharghar,2,No,Yes,No,No
182,11600000,1150,Kharghar,2,Yes,Yes,Yes,Yes
183,5600000,670,Kharghar,1,Yes,Yes,Yes,Yes
184,8000000,900,Kharghar,2,Yes,Yes,Yes,Yes
185,9500000,1088,Kharghar,2,Yes,Yes,Yes,No
186,2018000,375,Dombivali,1,No,No,No,No
189,16500000,750,Jogeshwari West,2,No,Yes,No,No
190,2375000,525,Kalyan East,1,Yes,Yes,Yes,Yes
191,19500000,1200,Malad East,2,No,No,No,No
192,2000000,420,Virar East,1,No,No,No,No
193,2500000,540,Virar East,1,No,No,No,No
194,2250000,415,Virar East,1,No,No,No,No
195,2700000,650,Virar,1,No,No,No,No
196,22000000,1100,Malad West,2,Yes,Yes,Yes,Yes
197,17000000,1105,Borivali East,2,Yes,Yes,Yes,Yes
199,4760000,700,Mira Road East,1,Yes,Yes,No,No
200,18100000,1296,Goregaon West,2,Yes,Yes,Yes,Yes
201,23800000,1638,Goregaon West,3,Yes,Yes,Yes,Yes
202,21200000,1465,Goregaon West,3,Yes,Yes,Yes,Yes
203,8600000,700,Borivali East,1,Yes,Yes,Yes,Yes
205,23700000,1450,Malad West,3,Yes,Yes,Yes,Yes
206,21400000,1100,Malad West,2,Yes,Yes,Yes,Yes
207,12500000,800,Kandivali West,2,Yes,Yes,Yes,Yes
208,18000000,1500,Kandivali West,3,Yes,Yes,Yes,Yes
209,13200000,1100,Kandivali West,2,Yes,Yes,Yes,Yes
211,15300000,950,Borivali East,2,Yes,Yes,Yes,Yes
212,25000000,1440,Kandivali West,3,Yes,Yes,Yes,Yes
213,13899999,1200,Kandivali West,2,Yes,Yes,Yes,Yes
215,14500000,775,Goregaon West,2,Yes,Yes,Yes,Yes
216,9000000,765,Kandivali West,1,Yes,Yes,Yes,Yes
217,13500000,910,Goregaon West,2,Yes,Yes,Yes,Yes
218,9000000,640,Goregaon West,1,Yes,Yes,Yes,Yes
219,21600000,1264,Malad East,2,Yes,Yes,Yes,Yes
220,13700000,1056,Kandivali West,2,Yes,Yes,Yes,Yes
225,17000000,1114,Andheri East,3,Yes,Yes,Yes,Yes
231,21100000,1200,Malad East,2,Yes,Yes,Yes,Yes
232,16500000,1200,Malad East,2,Yes,Yes,Yes,Yes
233,16000000,1250,Borivali East,2,Yes,Yes,Yes,Yes
235,15200000,1170,Malad West,2,Yes,Yes,Yes,Yes
236,2300000,310,Kharghar,1,No,No,No,No
239,11200000,573,Ulwe,2,Yes,Yes,Yes,Yes
240,9000000,1100,Ulwe,2,Yes,Yes,Yes,Yes
241,8500000,1135,Ulwe,2,Yes,Yes,No,Yes
242,9000000,1060,Kharghar,2,Yes,Yes,Yes,Yes
243,11500000,560,Malad West,1,No,No,No,No
